app_id,review_score_desc,review_score,total_positive,total_negative,total_reviews,positive_ratio
10,Overwhelmingly Positive,9,33453,1161,34614,0.9664586583463338
20,Very Positive,8,3617,575,4192,0.8628339694656488
30,Very Positive,8,1902,240,2142,0.8879551820728291
40,Very Positive,8,1043,219,1262,0.8264659270998416
50,Overwhelmingly Positive,9,12496,608,13104,0.9536019536019537
60,Very Positive,8,2544,408,2952,0.8617886178861789
70,Overwhelmingly Positive,9,55373,2016,57389,0.9648713168028716
80,Very Positive,8,6757,634,7391,0.9142199972940063
130,Very Positive,8,9080,724,9804,0.9261525907792738
220,Overwhelmingly Positive,9,86160,2276,88436,0.9742638744402732
240,Overwhelmingly Positive,9,42740,1745,44485,0.9607732943688884
280,Mixed,5,5030,2804,7834,0.6420730150625479
300,Very Positive,8,6737,664,7401,0.9102823942710444
320,Very Positive,8,4148,457,4605,0.9007600434310532
340,Very Positive,8,4820,557,5377,0.8964106379021759
360,Mostly Positive,6,1487,488,1975,0.7529113924050633
380,Overwhelmingly Positive,9,11245,565,11810,0.9521591871295513
400,Overwhelmingly Positive,9,80411,1053,81464,0.9870740449769223
420,Overwhelmingly Positive,9,15693,489,16182,0.9697812384130515
440,Mostly Positive,6,20615,6412,27027,0.7627557627557627
480,No user reviews,0,0,0,0,
500,Overwhelmingly Positive,9,18734,881,19615,0.9550853938312516
550,Overwhelmingly Positive,9,220988,5489,226477,0.9757635433178645
570,Very Positive,8,5429,677,6106,0.8891254503766787
620,Overwhelmingly Positive,9,167811,1940,169751,0.9885714958969314
630,Very Positive,8,108,6,114,0.9473684210526315
730,Very Positive,8,1236670,208226,1444896,0.8558885899054326
4000,Overwhelmingly Positive,9,510983,15139,526122,0.9712253051573589
4700,Overwhelmingly Positive,9,15901,713,16614,0.9570843866618515
8500,Mostly Positive,6,4163,1139,5302,0.7851754055073558
8870,Very Positive,8,42832,4152,46984,0.9116294908905159
8930,Overwhelmingly Positive,9,74603,3502,78105,0.9551629217079572
8940,No user reviews,0,0,0,0,
9400,Mixed,5,10,6,16,0.625
9450,Very Positive,8,7555,404,7959,0.9492398542530469
9900,Mostly Positive,6,647,201,848,0.7629716981132075
10090,Very Positive,8,30653,2481,33134,0.9251222309410273
10180,Very Positive,8,15296,1443,16739,0.9137941334607802
10500,Very Positive,8,10903,1265,12168,0.8960387902695595
12210,Very Positive,8,56484,12951,69435,0.8134802333117304
20920,Very Positive,8,22609,3078,25687,0.880172850079807
22380,Overwhelmingly Positive,9,160505,6414,166919,0.9615741766964815
49520,Very Positive,8,110399,11707,122106,0.9041242854568982
50620,Very Positive,8,2685,398,3083,0.8709049626986701
55230,Very Positive,8,17849,1081,18930,0.9428948758584258
70000,Very Positive,8,4123,557,4680,0.880982905982906
72200,Mostly Positive,6,1413,371,1784,0.7920403587443946
72850,Very Positive,8,94090,7674,101764,0.9245902283715263
105450,Very Positive,8,10869,1090,11959,0.9088552554561418
105600,Overwhelmingly Positive,9,576265,13904,590169,0.9764406466622273
107410,Very Positive,8,100970,9301,110271,0.9156532542554253
108600,Very Positive,8,138645,8843,147488,0.9400425797353005
110800,Very Positive,8,13169,2516,15685,0.8395919668473063
113200,Very Positive,8,22072,1270,23342,0.945591637391826
115320,Mostly Positive,6,3148,1172,4320,0.7287037037037037
218620,Very Positive,8,152000,22138,174138,0.872870941437251
219640,Very Positive,8,17902,4069,21971,0.8148013290246233
221100,Mostly Positive,6,130203,45307,175510,0.7418551649478662
223470,Overwhelmingly Positive,9,40975,1192,42167,0.9717314487632509
225540,Very Positive,8,38956,6056,45012,0.8654581000622056
227300,Overwhelmingly Positive,9,136896,3538,140434,0.9748066707492488
230410,Very Positive,8,1005,134,1139,0.8823529411764706
231430,Very Positive,8,23896,4335,28231,0.8464453969041125
232090,Very Positive,8,37001,4921,41922,0.8826153332379181
233450,Very Positive,8,29995,3778,33773,0.8881354928493175
234630,Mostly Positive,6,2940,1028,3968,0.7409274193548387
235460,Overwhelmingly Positive,9,37058,1589,38647,0.9588842600978084
236390,Mixed,5,554,262,816,0.678921568627451
238960,Very Positive,8,499,45,544,0.9172794117647058
