app_id,latest_date,feed_type,feedlabel,tags
10,2023-12-12 11:37:21,1.0,Community Announcements,patchnotes
20,2024-10-02 11:56:29,1.0,Community Announcements,patchnotes
30,2019-10-08 14:08:41,1.0,Community Announcements,patchnotes
40,2019-10-08 14:07:09,1.0,Community Announcements,patchnotes
50,2019-10-08 13:31:33,1.0,Community Announcements,patchnotes
60,2019-10-08 14:02:39,1.0,Community Announcements,patchnotes
70,2026-04-11 07:00:00,0.0,PC Gamer,
80,2023-12-12 11:38:21,1.0,Community Announcements,patchnotes
130,2019-10-08 14:06:06,1.0,Community Announcements,patchnotes
220,2025-07-23 13:37:08,1.0,Community Announcements,patchnotes
240,2025-02-18 15:01:12,1.0,Community Announcements,patchnotes
280,2019-09-26 17:43:00,0.0,Product Update,
300,2025-02-18 15:01:24,1.0,Community Announcements,patchnotes
320,2025-02-18 15:01:35,1.0,Community Announcements,patchnotes
340,2019-11-19 04:14:00,0.0,Eurogamer,
360,2025-02-18 15:00:48,1.0,Community Announcements,patchnotes
380,2022-02-18 13:00:12,1.0,Community Announcements,patchnotes
400,2025-06-27 10:27:09,1.0,Community Announcements,patchnotes
420,2022-02-18 13:05:44,1.0,Community Announcements,patchnotes
440,2026-03-11 15:33:26,1.0,Community Announcements,patchnotes
480,,,,
500,2025-08-22 15:11:29,1.0,Community Announcements,patchnotes
550,2025-02-05 17:18:16,1.0,Community Announcements,patchnotes
570,2026-04-07 16:24:46,1.0,Community Announcements,patchnotes
620,2025-02-05 17:19:31,1.0,Community Announcements,patchnotes
630,2020-08-18 14:44:13,1.0,Community Announcements,patchnotes
730,2026-04-30 18:46:49,1.0,Community Announcements,patchnotes
4000,2025-12-10 11:15:55,1.0,Community Announcements,patchnotes
4700,2026-04-16 13:07:20,1.0,Community Announcements,
8500,2026-04-30 07:50:46,1.0,Community Announcements,
8870,2024-11-25 16:10:03,1.0,Community Announcements,patchnotes
8930,2024-11-25 16:12:13,1.0,Community Announcements,patchnotes
8940,,,,
9400,2011-07-13 13:10:00,0.0,Eurogamer,
9450,2021-03-05 06:14:00,0.0,Eurogamer,
9900,2026-05-01 11:01:02,1.0,Community Announcements,
10090,2024-12-24 08:23:08,0.0,VG247,
10180,2025-08-11 06:44:06,0.0,VG247,
10500,2023-04-25 06:00:48,1.0,Community Announcements,patchnotes
12210,2026-03-30 12:01:44,0.0,"Rock, Paper, Shotgun",
20920,2024-12-12 20:16:44,1.0,Community Announcements,
22380,2026-03-23 10:07:02,0.0,PCGamesN,
49520,2026-03-19 13:09:39,1.0,Community Announcements,
50620,2025-12-19 10:59:18,0.0,PCGamesN,
55230,2025-11-01 17:11:53,0.0,PC Gamer,
70000,2017-07-16 18:30:46,1.0,Community Announcements,
72200,2016-09-19 10:30:56,0.0,"Rock, Paper, Shotgun",
72850,2026-04-17 10:34:21,0.0,PC Gamer,
105450,2021-09-01 13:29:54,1.0,Community Announcements,patchnotes
105600,2026-05-01 08:12:54,0.0,PCGamesN,
107410,2026-04-30 12:30:02,1.0,Community Announcements,
108600,2026-04-08 09:49:00,1.0,Community Announcements,patchnotes
110800,2026-04-29 09:30:02,0.0,PCGamesN,
113200,2026-01-26 15:18:47,1.0,Community Announcements,
115320,2014-10-01 13:00:00,0.0,Announcement,
218620,2026-04-05 10:39:39,1.0,Community Announcements,patchnotes
219640,2024-06-13 16:03:12,1.0,Community Announcements,
221100,2026-04-21 04:00:09,1.0,Community Announcements,
223470,2026-01-23 16:57:55,1.0,Community Announcements,
