app_id,review_score_desc,review_score,total_positive,total_negative,total_reviews,positive_ratio
730,Very Positive,8,8229202,1320698,9549900,0.8617055675975664
570,Very Positive,8,2183308,515749,2699057,0.8089151136860022
440,Very Positive,8,1115101,111937,1227038,0.9087746263766893
578080,Mixed,5,1628518,1073689,2702207,0.6026621942730516
271590,Very Positive,8,1800114,255071,2055185,0.8758890318876403
1172470,Mixed,5,705095,338041,1043136,0.6759377492484201
1085660,Mostly Positive,6,499020,146493,645513,0.7730595665772804
381210,Mostly Positive,6,700856,191093,891949,0.7857579301058693
1091500,Very Positive,8,804031,127242,931273,0.8633676698454696
1245620,Very Positive,8,1049121,78601,1127722,0.9303010848418316
1938090,Mixed,5,449739,318928,768667,0.5850895121034206
252490,Very Positive,8,1175600,175658,1351258,0.8700040998832199
1599340,Mostly Positive,6,143224,59957,203181,0.7049084313986052
413150,Overwhelmingly Positive,9,983290,15228,998518,0.9847493986087381
814380,Overwhelmingly Positive,9,330284,16366,346650,0.9527881148132121
292030,Overwhelmingly Positive,9,838216,27841,866057,0.9678531551618427
553850,Mostly Positive,6,866869,258350,1125219,0.7704002509733661
236390,Mostly Positive,6,537216,200968,738184,0.7277535140290226
394360,Very Positive,8,327073,35077,362150,0.9031423443324589
1086940,Overwhelmingly Positive,9,808695,26641,835336,0.9681074441901223
